after,befer,score
2型糖尿病,糖尿病、2型糖尿病,62.5
食积症,食积,100.0
胃炎,消化不良,0.0
骨关节炎,全身性骨关节炎,57.14285714285714
支气管炎,咳嗽,0.0
呼吸道感染,流行性感冒,20.0
阳萎、肾虚证,阳痿、阳萎、肾虚证,71.42857142857143
呼吸道感染,普通感冒,25.0
乳腺增生,乳腺结节,50.0
肝气郁结症,胃炎,0.0
低钙血症,钙缺乏,33.33333333333333
肾虚,尿频病,0.0
阳痿,肾虚证,0.0
前列腺炎,前列腺增生,60.0
支气管炎,咳嗽,0.0
前列腺增生,高血压病,0.0
鼻窦炎、强直性脊柱炎,鼻窦炎、类风湿性关节炎,50.0
急性鼻窦炎、强直性脊柱炎,鼻窦炎、强直性脊柱炎,100.0
过敏性性结膜炎、结膜炎、干眼症,过敏性性结膜炎、结膜炎、干燥综合征,73.33333333333333
痛风,屎酸过高,0.0
高尿酸血症,屎酸过高,50.0
哮喘,过敏性鼻炎,0.0
高血压病、强直性脊柱炎,高血压病、高血压、强直性脊柱炎,76.92307692307693
神经衰弱,阳萎,0.0
心悸,慢性支气管炎,0.0
白内障,用于早期老年性白内障,30.0
慢性肾功能不全,肾功能异常,60.0
胆结石,胆囊结石,75.0
转氨酶偏高,上夜班转氨酶偏高,62.5
肝炎,转氨酶偏高,0.0
支气管哮喘,支气管哮喘、慢性支气管炎,45.45454545454545
支气管炎,咳嗽,0.0
肾虚火旺,肾阴虚证,50.0
流感,感冒,50.0
肾虚,咳嗽，腰痛。,0.0
免疫力低下,恶性肿瘤,0.0
肥胖症,减肥,50.0
尿道炎,非淋菌尿道炎,50.0
阳痿,阳痿、阳萎,50.0
流感,咽痛,0.0
肠炎,腹泻,0.0
糖尿病伴周围神经病变,糖尿病伴神经并发症,66.66666666666666
胃炎,打嗝,0.0
肩周炎,感冒，引起肩周炎,42.857142857142854
风湿性关节炎,感冒引起肩周炎,14.285714285714285
支气管炎,咳嗽，腰痛。,0.0
肾移植,肾移植失败和排斥反应,30.0
皮肌炎、骨质疏松症,皮肌炎,100.0
咳嗽，肾炎,咳嗽，腰痛。,50.0
肢体麻木、脑梗,肢体麻木,100.0
贫血,叶酸缺乏,0.0
骨质疏松症,绝经后妇女的骨质疏松症,45.45454545454545
失眠症,非器质性失眠症,42.857142857142854
2型糖尿病、紫癜、骨质增生、银屑病 足癣,补充维生素C、2型糖尿病、抑郁症、骨质增生、银屑病,57.14285714285714
浅表性静脉炎,瘢痕,0.0
骨质疏松症,绝经后妇女的骨质疏松症,45.45454545454545
原发性开角型青光眼、干眼症,原发性开角型青光眼、维生素A缺乏症,62.5
气血两虚症,慢性支气管炎,16.666666666666664
干眼症、结膜炎,干眼症、细菌性结膜炎、干燥综合征,42.857142857142854
阳痿,肾精亏损,0.0
骨质疏松症,抽筋、无力,0.0
混合痔,混合痔，脱肛,60.0
扁桃体炎,急性咽喉炎,20.0
慢性心功能不全,线粒体脑病,0.0
盆腔炎,女性盆腔炎,60.0
肾移植,排斥反应,0.0
慢性咽炎,慢性咽炎，咽喉不爽,50.0
过敏性皮炎,VC缺乏症,0.0
头痛,头晕,50.0
脱发症,白发,50.0
慢性肝炎,保养,0.0
高血压病,高血压病、高血压,57.14285714285714
头晕,头晕和眩晕,40.0
呼吸道感染,流行性感冒,20.0
干眼症、月经不规则,干眼症、维生素E缺乏,33.33333333333333
胃炎,口苦口臭,0.0
胃炎,胃胀痛,33.33333333333333
胃炎,胃恶性肿瘤,20.0
肥胖症,减肥,50.0
急性支气管炎,支气管炎,100.0
风湿性关节炎,肢体疼痛,0.0
肥胖症,减肥,50.0
痛风,常年尿酸高，痛风经常发作,18.181818181818183
慢性支气管炎,慢性阻塞性肺病,28.57142857142857
月经不调,宫寒,0.0
肢体麻木,脑出血,0.0
白细胞减少症,白细胞异常,60.0
青光眼,青光眼、开角型青光眼,33.33333333333333
慢性鼻炎,急慢性鼻炎,80.0
头晕,美尼尔综合症眩晕,12.5
冠心病,心肌缺血，冠心病,42.857142857142854
肥胖症,减肥,50.0
消化道出血,呕血,50.0
狼疮性肾炎,排斥反应,0.0
扁桃体炎,胃溃疡,0.0
2型糖尿病、高脂血症,糖尿病、2型糖尿病、高脂血症,75.0
慢性乙肝,慢性肝炎,75.0
抑郁症,焦虑性抑郁症,50.0
乳腺增生,乳腺小叶增生,66.66666666666666
痤疮,酒糟鼻,0.0
慢性支气管炎,咳嗽,0.0
脑梗塞,脑血管病,25.0
阳痿早泄、肾虚证,阳痿早泄、阳痿、肾虚证,77.77777777777779
干眼症、眼睑炎、白内障,干燥综合征、眼睑炎、白内障,72.72727272727273
肾阳虚,腰膝酸软,0.0
性功能障碍,勃起功能障碍,66.66666666666666
感冒,流行性感冒,40.0
高血压病、gxb,高血压病、心力衰竭,50.0
肾病综合征,难治性肾病综合征,62.5
多动症,多动性障碍,40.0
高血压病、心绞痛,高血压病、gxb,57.14285714285714
咽炎,口腔炎、咽部不适,28.57142857142857
高血压病 冠心病,高血压病、高血压、冠心病,70.0
高血压、心脾两虚证,肝阳上亢、心脾两虚证,55.55555555555556
鼻炎,常年性过敏性鼻炎,25.0
抑郁症,忧郁伤神证,20.0
高血压病 冠心病,高血压病、心绞痛,71.42857142857143
细菌性阴道病,宫颈糜烂,0.0
慢性胃炎,胃炎,100.0
慢性胃炎,胃肠功能紊乱、胃溃疡,11.11111111111111
肥胖症,肥胖,100.0
精神分裂症,双相情感障碍,0.0
右上臂肌肉拉伤,右上臂疑似肌肉拉伤,77.77777777777779
肥胖,减肥,50.0
脓包疮、勃起功能障碍、体癣,痤疮、勃起功能障碍、体癣,90.0
高血压病、白血病,高血压病、白细胞减少的疾病、肝细胞癌,37.5
冠心病,心脏动脉硬化,16.666666666666664
狼疮性肾炎,排斥反应,0.0
牙龈炎,牙髓炎,66.66666666666666
扁桃体炎,皮炎,50.0
冠心病,脑动脉粥样硬化,0.0
高血压病、心力衰竭   心绞痛,高血压病、心力衰竭,100.0
宫颈炎,宫颈糜烂,50.0
干眼症,干燥综合征,20.0
气管炎,痰热阻肺证,0.0
性功能障碍,勃起功能障碍,66.66666666666666
脑梗塞,脑血管病,25.0
肝郁气滞症,肝郁气滞证,80.0
胃肠功能紊乱、眼睑炎,胃肠功能紊乱、消化不良、眼睑炎,69.23076923076923
性功能障碍,男性勃起功能障碍,62.5
性功能障碍,勃起功能障碍,66.66666666666666
足廯,脚气,0.0
寻常痤疮,痤疮、寻常痤疮,66.66666666666666
维生素B缺乏症,维生素缺乏,100.0
维生素缺乏症,维生素B缺乏症,85.71428571428571
性功能障碍,男性勃起功能障碍,62.5
脾肾虚弱症,遵医嘱,0.0
哮喘、高脂血症、结膜炎,哮喘、高脂血症、眼部炎症,70.0
慢性肾炎,脱发,0.0
肠易激综合征,肠炎,50.0
百日咳,上呼吸道感染,0.0
疼痛,急性疼痛,50.0
流行性感冒,流感,100.0
脾胃虚弱症,腹泻，脾胃虚弱,66.66666666666666
失眠,安神助眠,25.0
咽喉炎,咽喉肿痛,50.0
脑梗塞,脑动脉供血不足,14.285714285714285
颈椎病,肠炎,0.0
肝气不舒症,胃炎,0.0
骨折,软组织挫伤,0.0
心绞痛,胸痛,50.0
血小板减少症,原发性血小板减少症,66.66666666666666
高脂血症,高血压病,50.0
高血压病、脑血管病,高血压病、高血压、脑血管病,72.72727272727273
高血压病、脑出血,高血压病、脑血管病,75.0
咽喉炎,咽喉糜烂肿痛,33.33333333333333
2型糖尿病、高血压病、高血脂、心绞痛、冠心病,2型糖尿病、高血压病、高血脂、心力衰竭、冠心病,84.21052631578947
肾虚 勃起功能障碍,肾虚,100.0
手足抽搐症,钙缺乏,0.0
高血压病,1,0.0
脑梗塞,脑血管病,25.0
焦虑症   抑郁症,焦虑状态,50.0
毛囊炎,局部皮肤感染,0.0
中风后遗症,脑动脉粥样硬化,0.0
阴道炎,HPV感染,0.0
高脂血症,高血压病,50.0
脾胃虚弱,大便稀薄胃口不好,12.5
抑郁症,焦虑性抑郁症,50.0
肩周炎,多部位神经痛,0.0
巨幼红细胞性贫血、周围神经病变,巨幼红细胞性贫血、周围神经病变、叶酸片,82.35294117647058
性功能障碍,勃起功能障碍,66.66666666666666
性功能障碍,勃起功能障碍,66.66666666666666
性功能障碍,早泄,0.0
白癜风,银屑病,0.0
慢性肾功能不全,肺肾两虚证,20.0
高血压病、帕金森病,帕金森、高血压病、帕金森病,72.72727272727273
慢性活动性肝炎,慢性肝炎,100.0
脑梗塞,血脂高血压高，通血管,0.0
手癣,手癣;皮炎,50.0
脑梗塞,脑血管病,25.0
子宫肌瘤,月经不调,0.0
气血不足,慢性支气管炎,16.666666666666664
脑外伤后遗症、认知障碍,慢性脑血管病后遗症、认知障碍,61.53846153846154
脾胃虚弱,挑食,0.0
慢性鼻炎,急慢性鼻炎,80.0
慢性胃炎,胃溃疡,33.33333333333333
带状疱疹后神经痛 ,痛性肌痉挛,20.0
扁桃体炎等,急性咽喉炎,20.0
周围神经病,维生素B12缺乏,0.0
带状疱疹后神经痛,痛性肌痉挛,20.0
、肾阳虚、勃起功能障碍,早泄、肾阳虚、勃起功能障碍,81.81818181818183
性功能障碍,早泄,0.0
子宫肌瘤,月经不调,0.0
鼻炎,急慢性鼻炎,40.0
肥胖症,减肥,50.0
风湿性关节炎,类风湿性关节炎,85.71428571428571
滴虫性阴道炎,滴虫性阴道炎、阴道炎,66.66666666666666
性功能障碍,勃起功能障碍,66.66666666666666
脾虚,心脾两虚,50.0
气阴两亏,气阴亏虚证,60.0
头痛,头痛偏头痛,40.0
性功能障碍,勃起功能障碍,66.66666666666666
性功能障碍,勃起功能障碍,66.66666666666666
勃起功能障碍,性功能障碍,80.0
鸡眼,贫血,0.0
冠心病,心绞痛,33.33333333333333
鸡眼,贫血,0.0
慢性胃炎,胃炎,100.0
多汗症,手足多汗,50.0
高血压病,血压偏高,50.0
乙肝小三阳,乙肝小三羊,80.0
月经不调,月经不规则,60.0
胃溃疡：,结肠炎,0.0
高血压病,高血压;高血压病,57.14285714285714
类风湿性关节炎,免疫缺陷病,0.0
胃溃疡,胃炎,50.0
颈椎病：,肠炎,0.0
皮炎,大腿根部痒,0.0
骨关节炎,全身性骨关节炎,57.14285714285714
感冒：,慢性鼻炎怕风,0.0
胃溃疡,胃溃疡、慢性浅表性胃炎，胃溃疡,23.076923076923077
乙肝,乙肝小三阳,40.0
支气管炎,咳嗽,0.0
肾阳虚、前列腺炎,肾阳虚、前列腺增生,75.0
贫血,皮肤科,0.0
男性性功能减退,老年人男性性功能,62.5
手藓,手,100.0
泌尿道感染;眼睑炎,泌尿道感染;急性支气管炎;眼睑炎,57.14285714285714
腹泻：,2,0.0
冠心病,胸痛,0.0
泌尿道感染;结膜炎,泌尿道感染;眼睑炎,75.0
癫痫,躁狂症,0.0
失眠证,阴血不足证,20.0
胃溃疡,胃肠溃疡、胃溃疡,42.857142857142854
头痛,头疼,50.0
痔疮,内痔,50.0
前列腺炎,前列腺增生,60.0
脑血栓形成、心绞痛,脑血栓形成、胸痛、叶酸缺乏、心绞痛,57.14285714285714
慢性气管炎,哮喘,0.0
肝炎,保护肝脏,25.0
失眠,气血不足证,0.0
脑梗塞、高脂血症,脑梗塞、高脂血症、脑梗死,70.0
冠心病,胸痛,0.0
腱鞘炎,肌腱及腱鞘炎,50.0
干眼症,角膜上皮缺损,0.0
高血压,扩张性心肌病,0.0
失眠,失眠多梦,50.0
高血压,心动过速,0.0
咽喉炎,溃疡性结肠炎,16.666666666666664
神经衰弱症,气血两虚,0.0
肝慢性肝炎,肝郁胁肋胀痛,16.666666666666664
白细胞减少症,白细胞异常,60.0
风湿性关节炎,偏瘫,0.0
脑梗塞,脑血管病,25.0
消化不良,脾胃伏热证,0.0
白细胞减少症,白细胞异常,60.0
流感,月经不调,0.0
高脂血症、冠心病,高脂血症、胸痛、冠心病,77.77777777777779
慢性腹泻,胃炎,0.0
性功能障碍,勃起功能障碍,66.66666666666666
肠炎,胃炎,50.0
支气管哮喘,哮喘、支气管哮喘、肺气肿,50.0
抑郁症,双向抑郁,50.0
抑郁症,躯体化障碍,0.0
甲状腺功能减退,手术后甲状腺功能减退,70.0
发烧,关节痛,0.0
喘息性支气管炎,咳嗽,0.0
血栓闭塞性脉管炎,肾炎,50.0
三叉神经痛,原发性肌肉萎缩,0.0
疼痛,腰背疼痛,50.0
肾阳虚,早泄,0.0
支气管炎,咳嗽,0.0
过敏性鼻炎,过敏性鼻炎、变应性鼻炎,50.0
勃起功能障碍,肺动脉高压,0.0
中风,偏瘫,0.0
性功能障碍,勃起功能障碍,66.66666666666666
湿疹 ;支气管炎;中耳炎,皮炎 ;支气管炎;中耳炎,77.77777777777779
高血压病、帕金森病、冠心病,高血压病、高血压、帕金森病、冠心病,78.57142857142857
胃溃疡、,胃溃疡、慢性萎缩性胃炎,30.0
心绞痛,脑血栓后遗症,0.0
眩晕综合征,头晕和眩晕,40.0
骨关节炎,类风湿,0.0
肝肾不足,头发花白,0.0
肠炎,痢疾,0.0
类风湿关节炎,类风湿,100.0
类风湿关节炎,类风湿,100.0
肝肾两虚 ,头发花白,0.0
消化不良,肠炎,0.0
腹泻,肠道菌群失调,0.0
痤疮,痤疮（青春痘）/祛痘/粉刺,22.22222222222222
气血不足,脓疱疮,0.0
慢性肾炎、高血压、胃溃疡,湿热证、高血压、胃溃疡,66.66666666666666
慢性胆囊炎,胆囊炎、慢性胆囊炎,62.5
肠炎,痢疾,0.0
月经不规则,子宫囊肿,0.0
脾胃虚弱症,脾虚症,100.0
老年性白内障、脑梗死,用于早期老年性白内障、动脉硬化,42.857142857142854
足癣,乳腺增生,0.0
结膜炎,沙眼,0.0
足癣、中耳炎,脚痒，起疹、中耳炎,42.857142857142854
手脚皲裂,乳腺增生,0.0
感冒、瘢痕、坐骨神经痛、关节炎、湿疹,风热感冒、湿疹、神经痛、瘢痕、关节炎,71.42857142857143
哮喘,肺气肿，哮喘,40.0
月经不规则,月经不调,75.0
关节炎,软组织疾患、骨关节炎,33.33333333333333
慢性肾炎,急性肾炎,75.0
冠心病,胸痛,0.0
胸痹,胸痛,50.0
手足抽搐症,抽筋、无力,25.0
中风,脑血管病,0.0
干眼症,干燥综合征,20.0
性功能障碍,勃起功能障碍,66.66666666666666
冠心病,胸痛,0.0
肠炎,肠道菌群失调,16.666666666666664
肾移植术后,排斥反应,0.0
咽喉炎,风热感冒、咽喉炎,42.857142857142854
慢性肝炎,肝胆湿热证,20.0
;皮炎 ;支气管炎;结膜炎,支气管哮喘;皮炎 ;支气管炎;结膜炎,64.28571428571429
;皮炎 ;结膜炎,;皮炎 ;支气管炎;结膜炎,55.55555555555556
脾肾阳虚,十二指肠溃疡,0.0
勃起功能障碍,阳痿,0.0
慢性肝炎,保肝护肝,25.0
肾虚,肾气不足证,20.0
胃炎,胃痛,50.0
支气管哮喘;湿疹 ;结膜炎,支气管哮喘;湿疹;急性支气管炎;结膜炎,62.5
高眼压症,玫瑰痤疮面部血管扩张 国内无溴莫尼定凝胶,0.0
非瓣膜性房颤,人非瓣膜性房颤,85.71428571428571
脾胃虚弱,气血虚 脾胃虚,50.0
，发育迟缓,厌食，发育迟缓,66.66666666666666
支气管哮喘;结膜炎,支气管哮喘;皮炎 ;支气管炎;结膜炎,57.14285714285714
免疫力低下,增强免疫力,60.0
支气管哮喘;结膜炎   湿疹,支气管哮喘;结膜炎,100.0
过敏性鼻炎,慢性鼻炎,75.0
低钾血症,高血压病,25.0
白内障,翼状胬肉,0.0
肺肾两虚 ,冠心病,0.0
心绞痛,心力衰竭,25.0
甲减,甲减，扁桃体炎,33.33333333333333
失眠,耳呜，头晕失眠,33.33333333333333
慢性缺血性脑血管病、冠心病,慢性缺血性脑血管病、心肌梗死,76.92307692307693
脾虚,中气下陷证,0.0
痔外,痔疮屁股痒。,20.0
慢性乙型肝炎,慢性乙型肝炎、乙肝,75.0
益气健脾,心绞痛,0.0
高脂血症、高血压、冠心病,高脂血症、高血压病、高血压、冠心病,71.42857142857143
抑郁症,抑郁,100.0
精神分裂症  抑郁症,精神分裂症,100.0
性功能障碍,勃起功能障碍,66.66666666666666
扁桃体炎,胃炎,50.0
慢性肾炎,急性肾炎,75.0
冠心病,胸痛,0.0
关节炎,关节痛,66.66666666666666
脑梗死,脑梗，睡不着，,40.0
盆腔炎,痛经,0.0
月经过多,闭经,50.0
增生性骨关节炎,增生性骨关节,100.0
胆囊结石、肝炎,胆囊结石、肝损伤,71.42857142857143
肾虚,腰肌劳损,0.0
肥胖,产后肥胖,50.0
冠心病,胸痛,0.0
心绞痛、偏头痛,胸痛、心绞痛、偏头痛,75.0
乳腺增生,乳腺肿瘤,50.0
肩周炎,腰痛,0.0
钙缺乏,营养性钙缺乏,50.0
尖锐湿疣,脚底部水泡,0.0
皮炎,镍皮炎,66.66666666666666
钙缺乏,缺钙,50.0
干眼症,干燥综合征,20.0
肠炎,肚子咕咕叫大便软一天几次,0.0
牛皮癣,类风湿关节炎,0.0
肝胃不和,上火不爱吃饭,16.666666666666664
骨质疏松,缺钙,0.0
扁桃体炎,咽炎,50.0
冠心病,脾肾两虚证,0.0
滑膜炎,急慢性滑膜炎,50.0
骨性关节炎,腰痛,0.0
高血压,前列腺增生,0.0
上呼吸道感染、阳萎,呼吸道感染、阳萎,100.0
前列腺增生,高血压,0.0
支气管哮喘,哮喘、支气管哮喘,71.42857142857143
贫血,叶酸片,0.0
肝肾阴亏、气虚 ,肝肾阴亏、气虚，阴虚，咽干口干，鼻炎鼻痒。,37.5
结膜炎,外眼感染,0.0
心绞痛、胃炎,心绞痛、腹泻,60.0
过敏性鼻炎,季节性鼻炎,60.0
感冒、内痔、肾阳虚、腹泻,胃肠感冒、内痔、肾阳虚、腹泻、痔疮,69.23076923076923
高脂血  脑梗塞,高脂血症、脑血管病,50.0
失眠症,非器质性失眠症,42.857142857142854
冠心病,心绞痛,33.33333333333333
心绞痛,冠心病,33.33333333333333
高血压病  良性前列腺增生,高血压病,100.0
乳腺增生,乳腺肿瘤,50.0
脑梗塞、酒精性肝炎，冠心病,脑供血不足、酒精性肝炎，脂肪肝、冠心病,56.25
干眼症,干燥综合征,20.0
眩晕症、酒精性肝炎，冠心病,脑梗塞、酒精性肝炎，冠心病,72.72727272727273
便秘,上火大便干燥,16.666666666666664
带状疱疹,局部麻醉,0.0
过敏性鼻炎,慢性鼻炎,75.0
头痛,肌肉痛,33.33333333333333
 抑郁症,焦虑状态  抑郁状态,25.0
疱疹,皮肤疱疹,50.0
慢性肝炎,肝功能异常,20.0
脑梗塞,脑出血,33.33333333333333
性功能障碍,早泄,0.0
软组织损伤、高血压病、冠心病,软组织损伤、高血压病、胸痛、冠心病,85.71428571428571
冠心病,胸痛,0.0
癫痫,高胆固醇血症,0.0
肝脏移植术后、高脂血症,肝脏移植失败和排斥、高脂血症,61.53846153846154
软组织损伤、高血压病、冠心病,软组织损伤、高血压病、胸痛、冠心病,85.71428571428571
慢性支气管炎,肺肾两虚证,0.0
心律失常,冠心病,33.33333333333333
高脂血症,血压高,33.33333333333333
失眠,失眠多梦,50.0
性功能障碍,男性勃起功能障碍,62.5
干眼症,干燥综合征,20.0
失眠,面色无华，失眠健忘，气短懒言。,16.666666666666664
抑郁症,更年期综合征,0.0
慢性胃炎,烧心 疼痛,0.0
脾虚,预防性免疫治疗,0.0
慢性肾功能不全,肺肾两虚证,20.0
肝癌,肝恶性肿瘤,20.0
夜盲症,维生素A缺乏症,14.285714285714285
慢性肾功能不全、高血压病、痛风、,肾功能异常、高血压病、痛风、肾功能不全,68.75
手擦伤,表浅创面皮肤外伤,12.5
帕金森氏病,帕金森氏病、帕金森,62.5
慢性浅表性胃炎,慢性胃窦炎,80.0
男性勃起功能障碍,男性勃起功能障碍、阳痿,80.0
性功能障碍,阳萎,0.0
尿路感染、脂溢性脱发,尿频尿急 膀胱过度活动症、脂溢性脱发,37.5
月经不规则,月经不调、月经不规则,55.55555555555556
尿路感染,肾盂肾炎,0.0
慢性乙肝,无明显症状,0.0
骨质疏松肝炎、胃炎,IgG4相关性疾病、胃炎,27.27272727272727
中风,脑出血,0.0
肝炎、类风湿关节炎,皮炎、类风湿关节炎,87.5
支气管炎,急性支气管炎,66.66666666666666
肝移植状态,叶酸缺乏、肝移植状态,55.55555555555556
脑供血不足、脂肪肝、冠心病,脑供血不足、酒精性肝炎，脂肪肝、冠心病,68.75
角膜溃疡、干眼症、眼睑炎,角膜溃疡、干燥综合征、眼睑炎,75.0
支气管炎,CKD4期,0.0
脑血栓,脑动脉粥样硬化,14.285714285714285
高脂血症、便秘,血脂高、便秘,80.0
慢性胃炎,胃炎,100.0
慢性咽炎,喉咙干,0.0
急性支气管炎,支气管炎,100.0
风寒感冒,风寒湿阻症,40.0
脱发,脂溢性脱发,40.0
疼痛,头痛,50.0
肾功能不全,肾功能异常,60.0
鼻炎,过敏,0.0
胃炎,高血压病,0.0
尿路感染,无,0.0
痔疮,内痔,50.0
痛风,高尿酸,0.0
慢性阻塞性肺病、皮肤感染,慢性阻塞性肺病、皮炎/湿疹/脚气,61.53846153846154
结膜炎,外眼感染,0.0
高尿酸血症,高尿酸,100.0
类风湿性关节炎、踝关节扭伤,类风湿性关节炎、扭伤,100.0
头痛,心绞痛,33.33333333333333
瘀血阻络,瘀血阻络型痹证,57.14285714285714
痛经,更年期综合征,0.0
腰椎间盘突出,腰酸,50.0
原发性血小板减少症,原发性血小板减少症、白细胞异常,64.28571428571429
偏头痛、胃溃疡,头痛偏头痛、胃溃疡,75.0
中耳炎,外耳炎,66.66666666666666
月经不规则,月经失调 ,50.0
2型糖尿病,糖尿病、2型糖尿病,62.5
前列腺炎,尿路感染,0.0
急性咽炎,急性咽炎;急性支气管炎,40.0
2型糖尿病、下肢动脉闭塞症,糖尿病、2型糖尿病、下肢动脉闭塞症,80.0
冠心病,头晕和眩晕,0.0
骨质疏松,日常补充d3,0.0
冠心病,胸痛,0.0
咽炎,溃疡结肠炎,20.0
高血压病,高血压病、高血压,57.14285714285714
过敏性鼻炎、眼底出血,鼻炎、眼底出血,100.0
冠心病,高血压病,25.0
腰酸背痛,夜尿多,0.0
冠心病,胸痛,0.0
风寒感冒,感冒,100.0
脑梗塞,气滞血瘀,0.0
神经官能症,类风湿,0.0
肾阳虚,气血虚 脾胃虚,16.666666666666664
消化不良,感冒咳嗽,0.0
高血压病、类风湿性关节炎  冠心病,软组织损伤、高血压病、胸痛、类风湿、冠心病,58.82352941176471
冠心病,脑血管病,25.0
性功能障碍,勃起功能障碍,66.66666666666666
肾气亏虚证,腰膝酸冷,0.0
脑外伤后遗症,脑血管病,25.0
慢性支气管炎,痰异常、慢性支气管炎,66.66666666666666
肾虚、结膜炎,肾虚、泪囊炎,60.0
冠心病,气滞血瘀,0.0
心脾两虚证,失眠多梦 气虚 脾胃虚,22.22222222222222
抑郁症,焦虑性抑郁症,50.0
胸闷,胸闷气短,50.0
 偏头痛,头痛偏头痛,60.0
肝炎,虫咬皮炎,25.0
结膜炎,结膜炎 足癣;结膜炎,37.5
胸胁,肝细胞癌,0.0
皮炎、单纯疱疹,手足龟裂、单纯疱疹、过敏性皮炎,46.15384615384615
肾阴虚证,肾阴虚,100.0
大便秘结,宝宝大便秘结,66.66666666666666
胃炎,胃不舒服,25.0
前列腺炎,前列腺增生,60.0
血栓性静脉炎,颈动脉闭塞综合征,12.5
脑外伤,脑血管病,25.0
锌缺乏症,锌缺乏,100.0
胃溃疡,肠胃炎,33.33333333333333
冠心病,胸痛,0.0
脑梗死,偏瘫,0.0
白细胞减少症,甲亢,0.0
急性咽喉炎、中暑、,急性咽喉炎、中暑、喉咙痛、急性上呼吸道感染,38.88888888888889
急性咽喉炎、头痛,急性咽喉炎、中暑、,71.42857142857143
皮肤感染,瘀斑,0.0
gxb ,胸痛,0.0
冠心病,gxb ,0.0
肾阳不足,腰酸。。,0.0
尿道结石,浑身没劲,0.0
便秘,肝纤维化,0.0
糖尿病,消渴病,33.33333333333333
神经衰弱,肾虚证,0.0
慢性湿疹,接触性皮炎、荨麻疹,25.0
消化不良,积食,0.0
高脂血症、冠心病,高脂血症、深静脉血栓,44.44444444444444
慢性咽炎,喉咙干,0.0
中耳炎,耳鸣,50.0
癫痫,高热惊厥,0.0
高脂血症、高血压病、冠心病,高脂血症、高血压病、胸痛,80.0
白血病,恶性肿瘤,0.0
高血压病,高血压病、高血压,57.14285714285714
支气管哮喘,急性支气管炎,50.0
失眠,心绞痛,0.0
帕金森病,帕金森氏病,80.0
消化不良,口苦口臭,0.0
泌尿道感染,小便不畅,0.0
带状疱疹后遗症,痛性肌痉挛,0.0
冠心病,脑血管病,25.0
阳衰,早泄,0.0
慢性鼻炎  便秘,慢性鼻炎,100.0
筋骨疼痛,软组织损伤,0.0
肝阳上亢,头晕和眩晕,0.0
脑梗塞,脑动脉粥样硬化,14.285714285714285
慢性软组织扭伤,腰肌劳损,0.0
